Fecha,TRM
2024-07-27,4014.56
2024-07-31,4089.05
2024-08-01,4060.34
2024-08-02,4057.14
2024-08-03,4110.37
2024-08-06,4184.3
2024-08-07,4136.27
2024-08-09,4100.79
2024-08-10,4064.51
2024-08-13,4063.26
2024-08-14,4038.87
2024-08-15,4021.1
2024-08-16,4014.18
2024-08-17,4021.63
2024-08-21,4011.37
2024-08-22,4013.98
2024-08-23,4064.03
2024-08-24,4030.52
2024-08-27,4023.92
2024-08-28,4045.64
2024-08-29,4065.34
2024-08-30,4132.11
2024-08-31,4160.31
2024-09-04,4185.8
2024-09-05,4185.82
2024-09-06,4172.5
2024-09-07,4149.79
2024-09-10,4220.68
2024-09-11,4285.61
2024-09-12,4278.28
